institution.name,specialty.name,program.name,degree,program.link
Филиал МИЭП в Курске,Юриспруденция (40.03.01),Гражданско-правовой профиль,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/313/
КГМУ,Медико-профилактическое дело (32.05.01),Медико-профилактическое дело,"Врач по общей гигиене, по эпидемиологии",https://kursk.postupi.online/vuz/fakultet-mediko-profilakticheskogo-dela-kurskij-gmu/programma/1186/
КГМУ,Клиническая психология (37.05.01),Психология здоровья и спорта,Клинический психолог,https://kursk.postupi.online/vuz/fakultet-klinicheskoj-psihologii-kurskij-gmu/programma/837/
КГМУ,Стоматология (31.05.03),Стоматология,Врач-стоматолог,https://kursk.postupi.online/vuz/stomatologicheskij-fakultet-kurskij-gmu/programma/978/
КГМУ,Биотехнология (19.03.01),Биотехнология биологически активных веществ,Бакалавр,https://kursk.postupi.online/vuz/biotehnologicheskij-fakultet-kurskij-gmu/programma/3280/
КГМУ,Лечебное дело (31.05.01),Лечебное дело,Врач-лечебник,https://kursk.postupi.online/vuz/lechebnyj-fakultet-kurskij-gmu/programma/774/
КГМУ,Клиническая психология (37.05.01),Нейропсихологическая реабилитация и коррекционно-развивающие обучение,Клинический психолог,https://kursk.postupi.online/vuz/fakultet-klinicheskoj-psihologii-kurskij-gmu/programma/6829/
КГМУ,Химическая технология (18.03.01),Химическая технология биологически активных веществ,Бакалавр,https://kursk.postupi.online/vuz/biotehnologicheskij-fakultet-kurskij-gmu/programma/14655/
КГМУ,Педиатрия (31.05.02),Педиатрия,Врач-педиатр,https://kursk.postupi.online/vuz/pediatricheskij-fakultet-kurskij-gmu/programma/1185/
КГМУ,Клиническая психология (37.05.01),Патопсихологическая диагностика и психотерапия,Клинический психолог,https://kursk.postupi.online/vuz/fakultet-klinicheskoj-psihologii-kurskij-gmu/programma/1189/
КГМУ,Фармация (33.05.01),Фармация,Провизор,https://kursk.postupi.online/vuz/farmacevticheskij-fakultet-kurskij-gmu/programma/775/
РОСИ,Продукты питания из растительного сырья (19.03.02),"Технология хлеба, кондитерских и макаронных изделий",Бакалавр,https://kursk.postupi.online/vuz/rosi/programma/1492/
РОСИ,Юриспруденция (40.03.01),Юрист общей практики,Бакалавр,https://kursk.postupi.online/vuz/rosi/programma/368/
РОСИ,Прикладная информатика (09.03.03),Прикладная информатика в менеджменте,Бакалавр,https://kursk.postupi.online/vuz/rosi/programma/1917/
РОСИ,Программная инженерия (09.03.04),Разработка программных приложений и систем,Бакалавр,https://kursk.postupi.online/vuz/rosi/programma/4573/
РОСИ,Информатика и вычислительная техника (09.03.01),"Вычислительные машины, комплексы, системы и сети",Бакалавр,https://kursk.postupi.online/vuz/rosi/programma/54/
ЮЗГУ,Нанотехнологии и микросистемная техника (28.03.01),Микро- и наносистемы,Бакалавр,https://kursk.postupi.online/vuz/enf-yuzgu/programma/281/
ЮЗГУ,Государственное и муниципальное управление (38.03.04),Организационно-аналитическое обеспечение административного управления,Бакалавр,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/5522/
ЮЗГУ,Конструирование изделий легкой промышленности (29.03.05),Дизайн и индустрия моды,Бакалавр,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/3215/
ЮЗГУ,Экономика (38.03.01),Финансы и кредит,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/389/
ЮЗГУ,Экономика (38.03.01),Внешнеэкономическая деятельность и международный бизнес,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/4823/
ЮЗГУ,Экономика (38.03.01),Экономика предприятий и организаций,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/424/
ЮЗГУ,Социология (39.03.01),Социология маркетинга и управление организацией,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/11728/
ЮЗГУ,Экономика (38.03.01),"Экономика, финансы и учет",Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/3007/
ЮЗГУ,Фундаментальная и прикладная лингвистика (45.03.03),Теоретическая и прикладная лингвистика,Бакалавр,https://kursk.postupi.online/vuz/flmk-yuzgu/programma/674/
ЮЗГУ,Юриспруденция (40.03.01),Юрист общей практики,Бакалавр,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/368/
ЮЗГУ,Гостиничное дело (43.03.03),Ресторанная деятельность,Бакалавр,https://kursk.postupi.online/vuz/flmk-yuzgu/programma/3042/
ЮЗГУ,Химическая технология (18.03.01),Современные композиционные материалы,Бакалавр,https://kursk.postupi.online/vuz/enf-yuzgu/programma/17563/
ЮЗГУ,Электроэнергетика и электротехника (13.03.02),Электроснабжение,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/507/
ЮЗГУ,Наземные транспортно-технологические средства (23.05.01),Автомобильная техника в транспортных технологиях,Инженер,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/2477/
ЮЗГУ,Строительство (08.03.01),Промышленное и гражданское строительство,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/228/
КГУ,Профессиональное обучение (по отраслям) (44.03.04),Технология машиностроения и материалообработки,Академический бакалавр,https://kursk.postupi.online/vuz/industrial-kgu-kursk/programma/4729/
КГУ,Химическая технология (18.03.01),"Технология синтетических биологически активных веществ, химико-фармацевтических препаратов и косметических средств",Бакалавр,https://kursk.postupi.online/vuz/egf-kgu-kursk/programma/1111/
КГУ,Техносферная безопасность (20.03.01),Безопасность труда и технологических процессов,Бакалавр,https://kursk.postupi.online/vuz/industrial-kgu-kursk/programma/2538/
КГУ,Информатика и вычислительная техника (09.03.01),Прикладной искусственный интеллект,Бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/13076/
КГУ,Дизайн (54.03.01),Дизайн интерьера,Академический бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/2710/
КГУ,Информационная безопасность (10.03.01),Безопасность компьютерных систем (в сфере техники и технологии),Бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/80/
КГУ,Архитектура (07.03.01),Архитектурно-градостроительное проектирование,Академический бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/218/
КГУ,Живопись (54.05.02),Художник-живописец (станковая живопись),Художник-живописец (Станковая живопись),https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/3393/
КГУ,Лингвистика (45.03.02),Теория и практика перевода,Прикладной бакалавр,https://kursk.postupi.online/vuz/inyaz-kgu-kursk/programma/1921/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),История и Обществознание,Прикладной бакалавр,https://kursk.postupi.online/vuz/istoricheskij-fakultet-kgu-kursk/programma/377/
КГУ,Дизайн (54.03.01),Анимация и иллюстрация,Академический бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/354/
КГУ,Музыкально-инструментальное искусство (53.03.02),Исполнительство на музыкальных инструментах: фортепиано,Бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/612/
КГУ,Экономика (38.03.01),"Экономика, финансы и бухгалтерский учет",Академический бакалавр,https://kursk.postupi.online/vuz/institut-ekonomiki-i-upravleniya-kgu-kursk/programma/17446/
КГУ,Искусство костюма и текстиля (54.03.03),Дизайн визуальных коммуникаций в искусстве костюма и текстиля,Бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/11097/
КГУ,Дирижирование (53.03.05),Дирижирование академическим хором,Бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/614/
